Service,UX_mean,UI_design,Player_usability,Catalogue_volume,Genre_coverage_within_category,New_release_speed,Genre_coverage_among_category,Cost_perf,Overall_satisfaction,NPS_intention,Continue_intention,Genre_1_top_share,Genre_2_top_share,Genre_3_top_share,Genre_4_top_share,Genre_5_top_share,Genre_6_top_share,Genre_7_top_share,Genre_8_top_share,Genre_9_top_share,Genre_10_top_share,Genre_11_top_share,Genre_12_top_share,Genre_13_top_share,Genre_14_top_share,Genre_15_top_share,Original_viewer_share,Original_quality,Usage_tenure_months,Personal_pay_ratio,Extra_service_use,Corporate_trust,SDGs_influence
Apple TV＋,7.45,8.0,6.8,7.0,6.4,6.6,3.8,6.8,7.0,7.0,7.0,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,27.6,1.0,0.2,7.7,5.6
アニメ放題,9.0,9.5,9.166666666666666,9.666666666666666,9.666666666666666,8.666666666666666,1.0,9.5,9.666666666666666,8.666666666666666,9.666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,34.0,1.0,0.16666666666666666,9.333333333333334,5.666666666666667
ABEMAプレミアム,7.524647887323944,7.591549295774648,7.394366197183099,7.52112676056338,7.507042253521127,7.323943661971831,3.8732394366197185,7.352112676056338,8.04225352112676,7.394366197183099,8.070422535211268,0.014084507042253521,0.04225352112676056,0.09859154929577464,0.014084507042253521,0.056338028169014086,0.29577464788732394,0.16901408450704225,0.09859154929577464,0.04225352112676056,0.014084507042253521,0.15492957746478872,0.0,0.0,0.0,0.0,0.0,7.777777777777778,22.929577464788732,1.0,0.30985915492957744,7.507042253521127,6.366197183098592
Amazonプライム・ビデオ,7.449934554973822,7.488219895287958,7.274869109947644,7.417539267015707,7.442408376963351,7.149214659685864,4.6557591623036645,7.710732984293194,8.098167539267015,7.650523560209424,8.178010471204189,0.1400523560209424,0.2238219895287958,0.07853403141361257,0.06806282722513089,0.030104712041884817,0.3795811518324607,0.028795811518324606,0.009162303664921465,0.013089005235602094,0.010471204188481676,0.01832460732984293,0.0,0.0,0.0,0.0,0.0,7.616969696969696,33.59947643979058,1.0,0.774869109947644,7.853403141361256,6.079842931937173
FODプレミアム,7.25,7.075,7.225,7.275,7.3,7.125,3.775,6.875,7.575,7.1,7.5,0.1,0.0,0.475,0.025,0.025,0.15,0.05,0.0,0.025,0.0,0.15,0.0,0.0,0.0,0.0,0.0,8.2,22.05,1.0,0.325,7.3375,6.075
SPOOX（スプークス）,8.083333333333334,7.666666666666667,8.0,8.0,8.0,8.333333333333334,3.3333333333333335,7.666666666666667,8.666666666666666,8.666666666666666,8.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,22.666666666666668,1.0,1.0,8.333333333333334,8.333333333333334
DAZN,6.691091954022989,6.758620689655173,6.417624521072797,6.8084291187739465,6.065134099616858,7.057471264367816,1.0727969348659003,5.938697318007663,6.954022988505747,6.130268199233717,7.21455938697318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.394607843137255,35.616858237547895,1.0,0.022988505747126436,6.262452107279693,5.0727969348659006
dアニメストア,7.611301369863014,7.633561643835616,7.554794520547945,8.270547945205479,7.534246575342466,8.04109589041096,1.1232876712328768,8.448630136986301,8.356164383561644,7.7979452054794525,8.60958904109589,0.0,0.0,0.0,0.0,0.0,0.9931506849315068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,7.581982500010355,29.958904109589042,1.0,0.09931506849315068,8.318493150684931,4.671232876712328
DMM TV,7.291666666666667,7.066666666666666,7.533333333333333,7.844444444444444,7.622222222222222,7.111111111111111,2.5555555555555554,7.822222222222222,8.044444444444444,7.2444444444444445,7.644444444444445,0.044444444444444446,0.022222222222222223,0.0,0.022222222222222223,0.0,0.6666666666666666,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.2,0.0,0.0,7.481481481481481,8.844444444444445,1.0,0.26666666666666666,7.655555555555556,5.511111111111111
Disney＋（ディズニープラス）,7.403048780487805,7.556097560975609,7.004878048780488,7.463414634146342,7.507317073170731,7.639024390243902,3.6390243902439026,7.4,8.014634146341463,7.658536585365853,7.965853658536585,0.014634146341463415,0.33170731707317075,0.03902439024390244,0.24878048780487805,0.03902439024390244,0.3170731707317073,0.004878048780487805,0.0,0.004878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.090277777777777,19.160975609756097,1.0,0.0975609756097561,7.978048780487805,5.985365853658537
TELASA（テラサ）,6.9476744186046515,7.0,6.813953488372093,6.767441860465116,6.511627906976744,6.627906976744186,3.3488372093023258,6.790697674418604,7.232558139534884,6.186046511627907,7.1395348837209305,0.023255813953488372,0.13953488372093023,0.3023255813953488,0.11627906976744186,0.023255813953488372,0.3023255813953488,0.06976744186046512,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.209302325581394,1.0,0.13953488372093023,7.0813953488372094,5.3023255813953485
Netflix,7.862460815047022,7.891849529780564,7.943573667711599,7.921630094043887,7.860501567398119,7.675548589341693,4.663009404388715,7.722570532915361,8.18652037617555,7.844827586206897,8.227272727272727,0.10815047021943573,0.19122257053291536,0.07523510971786834,0.14106583072100312,0.2335423197492163,0.21316614420062696,0.014106583072100314,0.014106583072100314,0.003134796238244514,0.006269592476489028,0.0,0.0,0.0,0.0,0.0,0.0,8.218779342723005,28.21003134796238,1.0,0.18025078369905956,7.890282131661442,6.163009404388715
バンダイチャンネル,7.458333333333333,6.833333333333333,7.166666666666667,7.5,6.0,7.166666666666667,1.0,8.166666666666666,8.0,6.666666666666667,7.833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,26.0,1.0,0.0,8.166666666666666,4.166666666666667
Hulu,7.695873205741627,7.729665071770335,7.6746411483253585,7.679425837320574,7.7009569377990434,7.009569377990431,4.358851674641149,7.521531100478469,8.035885167464114,7.368421052631579,8.002392344497608,0.03827751196172249,0.07894736842105263,0.21291866028708134,0.2535885167464115,0.014354066985645933,0.2607655502392344,0.0861244019138756,0.007177033492822967,0.019138755980861243,0.014354066985645933,0.011961722488038277,0.0,0.0,0.0023923444976076554,0.0,0.0,7.330246913580247,29.411483253588518,1.0,0.12679425837320574,7.7272727272727275,5.8875598086124405
U‐NEXT,7.510240963855422,7.549397590361446,7.428915662650603,7.913253012048193,7.8265060240963855,7.20722891566265,4.192771084337349,7.27710843373494,7.920481927710844,7.113253012048193,7.732530120481928,0.10602409638554217,0.15903614457831325,0.0963855421686747,0.11566265060240964,0.11325301204819277,0.327710843373494,0.014457831325301205,0.016867469879518072,0.007228915662650603,0.0,0.033734939759036145,0.0,0.0,0.00963855421686747,0.0,0.0,7.791666666666667,25.81686746987952,1.0,0.5590361445783133,7.596385542168675,5.597590361445783
Lemino,6.738095238095238,6.523809523809524,7.142857142857143,6.285714285714286,7.095238095238095,6.428571428571429,3.9523809523809526,6.9523809523809526,7.333333333333333,6.095238095238095,6.190476190476191,0.0,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,10.0,1.0,0.3333333333333333,7.071428571428571,6.523809523809524
NBA Rakuten,8.578947368421053,8.473684210526315,8.526315789473685,8.68421052631579,8.789473684210526,9.210526315789474,1.0526315789473684,8.68421052631579,9.0,8.842105263157896,9.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,22.210526315789473,1.0,0.10526315789473684,8.5,6.7894736842105265
HISTORY ヒストリーチャンネル,8.125,8.0,8.0,9.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,18.0,1.0,1.0,8.0,8.0
Rakuten パ・リーグSpecial,7.423913043478261,7.565217391304348,7.304347826086956,6.913043478260869,6.434782608695652,7.173913043478261,1.0,7.173913043478261,7.695652173913044,7.304347826086956,7.565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,20.608695652173914,1.0,0.043478260869565216,6.891304347826087,5.956521739130435
その他,7.253205128205129,7.217948717948718,6.756410256410256,7.551282051282051,7.243589743589744,7.217948717948718,3.141025641025641,7.461538461538462,7.884615384615385,6.897435897435898,8.051282051282051,0.02564102564102564,0.0641025641025641,0.1282051282051282,0.10256410256410256,0.01282051282051282,0.0641025641025641,0.05128205128205128,0.01282051282051282,0.08974358974358974,0.02564102564102564,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,7.581982500010355,27.71794871794872,1.0,0.1794871794871795,7.647435897435898,5.487179487179487
